"REF_DATE","GEO","DGUID","Zero-Emission Vehicles Fuel Type","Vehicle type","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-10","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","107","","","","0"
"2022-01","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","157","","","","0"
"2022-04","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","204","","","","0"
"2022-07","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","252","","","","0"
"2022-10","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","248","","","","0"
"2023-01","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","220","","","","0"
"2023-04","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","458","","","","0"
"2023-07","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","536","","","","0"
"2023-10","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","532","","","","0"
"2024-01","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","468","","","","0"
"2024-04","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","799","","","","0"
"2024-07","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","769","","","","0"
"2024-10","New Brunswick","2016A000213","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480470","600.1.1.1","791","","","","0"
"2017-01","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","1247","","","","0"
"2017-04","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","2029","","","","0"
"2017-07","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","2110","","","","0"
"2017-10","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","2409","","","","0"
"2018-01","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","2565","","","","0"
"2018-04","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","5121","","","","0"
"2018-07","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","4432","","","","0"
"2018-10","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","5725","","","","0"
"2019-01","Quebec","2016A000224","All zero-emission vehicles","Total, vehicle type","Number of vehicles","Units","300","units","0","v1277480752","882.1.1.1","3795","","","","0"
