REF_DATE,GEO,DGUID,Fuel type,Vehicle type,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2018-04,Canada,2021A000011124,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485216,1.2.1.1,7401,,,,0
2018-07,Canada,2021A000011124,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485216,1.2.1.1,6558,,,,0
2018-10,Canada,2021A000011124,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485216,1.2.1.1,5984,,,,0
2019-01,Canada,2021A000011124,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485216,1.2.1.1,5282,,,,0
2019-04,Canada,2021A000011124,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485216,1.2.1.1,12371,,,,0
2019-07,Canada,2021A000011124,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485216,1.2.1.1,10139,,,,0
2019-10,Canada,2021A000011124,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485216,1.2.1.1,7758,,,,0
2020-01,Canada,2021A000011124,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485216,1.2.1.1,8021,,,,0
2020-04,Canada,2021A000011124,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485216,1.2.1.1,6207,,,,0
2020-07,Canada,2021A000011124,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485216,1.2.1.1,12855,,,,0
2020-10,Canada,2021A000011124,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485216,1.2.1.1,11963,,,,0
2021-01,Canada,2021A000011124,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485216,1.2.1.1,12760,,,,0
2021-04,Canada,2021A000011124,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485216,1.2.1.1,16275,,,,0
2021-07,Canada,2021A000011124,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485216,1.2.1.1,15851,,,,0
2021-10,Canada,2021A000011124,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485216,1.2.1.1,14247,,,,0
2022-01,Canada,2021A000011124,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485216,1.2.1.1,19705,,,,0
2022-04,Canada,2021A000011124,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485216,1.2.1.1,21764,,,,0
2022-07,Canada,2021A000011124,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485216,1.2.1.1,29376,,,,0
2022-10,Canada,2021A000011124,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485216,1.2.1.1,27775,,,,0
2023-01,Canada,2021A000011124,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485216,1.2.1.1,24217,,,,0
2023-04,Canada,2021A000011124,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485216,1.2.1.1,35633,,,,0
2023-07,Canada,2021A000011124,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485216,1.2.1.1,43763,,,,0
2023-10,Canada,2021A000011124,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485216,1.2.1.1,40053,,,,0
2024-01,Canada,2021A000011124,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485216,1.2.1.1,35782,,,,0
2024-04,Canada,2021A000011124,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485216,1.2.1.1,48552,,,,0
2024-07,Canada,2021A000011124,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485216,1.2.1.1,56197,,,,0
2024-10,Canada,2021A000011124,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485216,1.2.1.1,61802,,,,0
2017-01,Newfoundland and Labrador,2021A000210,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671371793,2.4.1.1,,..,,,0
2017-04,Newfoundland and Labrador,2021A000210,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671371793,2.4.1.1,,..,,,0
2017-07,Newfoundland and Labrador,2021A000210,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671371793,2.4.1.1,,..,,,0
2017-10,Newfoundland and Labrador,2021A000210,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671371793,2.4.1.1,,..,,,0
2018-01,Newfoundland and Labrador,2021A000210,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671371793,2.4.1.1,,..,,,0
2018-04,Newfoundland and Labrador,2021A000210,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671371793,2.4.1.1,,..,,,0
2018-07,Newfoundland and Labrador,2021A000210,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671371793,2.4.1.1,,..,,,0
2018-10,Newfoundland and Labrador,2021A000210,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671371793,2.4.1.1,,..,,,0
2019-01,Newfoundland and Labrador,2021A000210,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671371793,2.4.1.1,,..,,,0
2019-04,Newfoundland and Labrador,2021A000210,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671371793,2.4.1.1,,..,,,0
2019-07,Newfoundland and Labrador,2021A000210,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671371793,2.4.1.1,,..,,,0
2019-10,Newfoundland and Labrador,2021A000210,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671371793,2.4.1.1,,..,,,0
2020-01,Newfoundland and Labrador,2021A000210,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671371793,2.4.1.1,,..,,,0
2020-04,Newfoundland and Labrador,2021A000210,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671371793,2.4.1.1,,..,,,0
2020-07,Newfoundland and Labrador,2021A000210,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671371793,2.4.1.1,,..,,,0
2020-10,Newfoundland and Labrador,2021A000210,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671371793,2.4.1.1,,..,,,0
2021-01,Newfoundland and Labrador,2021A000210,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671371793,2.4.1.1,,..,,,0
2021-04,Newfoundland and Labrador,2021A000210,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671371793,2.4.1.1,,..,,,0
2021-07,Newfoundland and Labrador,2021A000210,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671371793,2.4.1.1,,..,,,0
2021-10,Newfoundland and Labrador,2021A000210,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671371793,2.4.1.1,,..,,,0
2022-01,Newfoundland and Labrador,2021A000210,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671371793,2.4.1.1,,..,,,0
2022-04,Newfoundland and Labrador,2021A000210,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671371793,2.4.1.1,,..,,,0
2022-07,Newfoundland and Labrador,2021A000210,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671371793,2.4.1.1,,..,,,0
2022-10,Newfoundland and Labrador,2021A000210,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671371793,2.4.1.1,,..,,,0
2023-01,Newfoundland and Labrador,2021A000210,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671371793,2.4.1.1,,..,,,0
2023-04,Newfoundland and Labrador,2021A000210,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671371793,2.4.1.1,,..,,,0
