REF_DATE,GEO,DGUID,Fuel type,Vehicle type,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2021-07,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,72,,,,0
2021-10,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,29,,,,0
2022-01,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,32,,,,0
2022-04,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,33,,,,0
2022-07,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,62,,,,0
2022-10,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,41,,,,0
2023-01,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,48,,,,0
2023-04,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,59,,,,0
2023-07,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,94,,,,0
2023-10,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,104,,,,0
2024-01,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,50,,,,0
2024-04,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,81,,,,0
2024-07,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,91,,,,0
2024-10,Prince Edward Island,2021A000211,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485596,381.2.1.1,83,,,,0
2017-01,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,10192,,,,0
2017-04,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,19468,,,,0
2017-07,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,18699,,,,0
2017-10,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,12392,,,,0
2018-01,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,10049,,,,0
2018-04,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,18244,,,,0
2018-07,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,16325,,,,0
2018-10,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,10813,,,,0
2019-01,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,10336,,,,0
2019-04,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,16508,,,,0
2019-07,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,16897,,,,0
2019-10,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,9747,,,,0
2020-01,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,10357,,,,0
2020-04,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,6140,,,,0
2020-07,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,13625,,,,0
2020-10,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,11877,,,,0
2021-01,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,9486,,,,0
2021-04,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,13380,,,,0
2021-07,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,13396,,,,0
2021-10,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,9764,,,,0
2022-01,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,7218,,,,0
2022-04,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,11042,,,,0
2022-07,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,10184,,,,0
2022-10,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,8930,,,,0
2023-01,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,7550,,,,0
2023-04,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,12148,,,,0
2023-07,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,11999,,,,0
2023-10,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,10763,,,,0
2024-01,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,9158,,,,0
2024-04,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,14733,,,,0
2024-07,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,12925,,,,0
2024-10,Nova Scotia,2021A000212,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671296091,497.4.1.1,11830,,,,0
2017-01,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,1,,,,0
2017-04,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,2,,,,0
2017-07,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,1,,,,0
2017-10,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,2,,,,0
2018-01,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,3,,,,0
2018-04,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,4,,,,0
2018-07,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,12,,,,0
2018-10,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,16,,,,0
2019-01,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,11,,,,0
2019-04,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,12,,,,0
2019-07,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,41,,,,0
2019-10,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,24,,,,0
2020-01,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,28,,,,0
2020-04,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,21,,,,0
2020-07,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,48,,,,0
2020-10,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,65,,,,0
2021-01,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,51,,,,0
2021-04,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,90,,,,0
2021-07,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,130,,,,0
2021-10,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,99,,,,0
2022-01,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,65,,,,0
2022-04,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,122,,,,0
2022-07,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,238,,,,0
2022-10,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,241,,,,0
2023-01,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,209,,,,0
2023-04,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,263,,,,0
2023-07,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,378,,,,0
2023-10,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,372,,,,0
2024-01,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,275,,,,0
2024-04,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,364,,,,0
2024-07,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,398,,,,0
2024-10,Nova Scotia,2021A000212,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485712,497.2.1.1,470,,,,0
2017-01,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,8432,,,,0
2017-04,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,14068,,,,0
2017-07,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,12013,,,,0
2017-10,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,9393,,,,0
2018-01,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,7549,,,,0
2018-04,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,13395,,,,0
2018-07,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,11649,,,,0
2018-10,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,8374,,,,0
2019-01,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,7533,,,,0
2019-04,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,13904,,,,0
2019-07,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,10669,,,,0
2019-10,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,8462,,,,0
2020-01,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,6743,,,,0
2020-04,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,7171,,,,0
2020-07,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,11425,,,,0
2020-10,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,8831,,,,0
2021-01,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,8106,,,,0
2021-04,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,11170,,,,0
2021-07,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,10005,,,,0
2021-10,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,7400,,,,0
2022-01,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,6875,,,,0
2022-04,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,9746,,,,0
2022-07,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,8479,,,,0
2022-10,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,7594,,,,0
2023-01,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,7215,,,,0
2023-04,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,10009,,,,0
2023-07,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,9133,,,,0
2023-10,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,9275,,,,0
2024-01,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,8512,,,,0
2024-04,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,11187,,,,0
2024-07,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,10914,,,,0
2024-10,New Brunswick,2021A000213,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671314332,600.4.1.1,9987,,,,0
2017-01,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,1,,,,0
2017-04,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,1,,,,0
2017-07,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,1,,,,0
2017-10,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,3,,,,0
2018-01,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,3,,,,0
2018-04,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,2,,,,0
2018-07,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,4,,,,0
2018-10,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,13,,,,0
2019-01,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,4,,,,0
2019-04,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,26,,,,0
2019-07,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,30,,,,0
2019-10,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,20,,,,0
2020-01,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,24,,,,0
2020-04,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,17,,,,0
2020-07,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,42,,,,0
2020-10,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,27,,,,0
2021-01,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,37,,,,0
2021-04,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,48,,,,0
2021-07,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,136,,,,0
2021-10,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,50,,,,0
2022-01,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,94,,,,0
2022-04,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,125,,,,0
2022-07,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,189,,,,0
2022-10,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,163,,,,0
2023-01,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,153,,,,0
2023-04,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,226,,,,0
2023-07,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,284,,,,0
2023-10,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,300,,,,0
2024-01,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,251,,,,0
2024-04,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,376,,,,0
2024-07,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,356,,,,0
2024-10,New Brunswick,2021A000213,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277485815,600.2.1.1,381,,,,0
2017-01,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,90901,,,,0
2017-04,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,148083,,,,0
2017-07,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,129608,,,,0
2017-10,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,105674,,,,0
2018-01,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,91312,,,,0
2018-04,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,147726,,,,0
2018-07,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,123956,,,,0
2018-10,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,101283,,,,0
2019-01,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,85021,,,,0
2019-04,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,145682,,,,0
2019-07,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,127220,,,,0
2019-10,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,100286,,,,0
2020-01,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,72170,,,,0
2020-04,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,80278,,,,0
2020-07,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,132705,,,,0
2020-10,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,98162,,,,0
2021-01,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,85507,,,,0
2021-04,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,131133,,,,0
2021-07,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,111119,,,,0
2021-10,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,85979,,,,0
2022-01,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,81797,,,,0
2022-04,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,106111,,,,0
2022-07,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,97833,,,,0
2022-10,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,87357,,,,0
2023-01,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,80668,,,,0
2023-04,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,116940,,,,0
2023-07,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,112886,,,,0
2023-10,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,105077,,,,0
2024-01,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,100593,,,,0
2024-04,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,129653,,,,0
2024-07,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,124740,,,,0
2024-10,Quebec,2021A000224,All fuel types,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1671325876,882.4.1.1,123507,,,,0
2017-01,Quebec,2021A000224,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277486097,882.2.1.1,602,,,,0
2017-04,Quebec,2021A000224,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277486097,882.2.1.1,831,,,,0
2017-07,Quebec,2021A000224,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277486097,882.2.1.1,873,,,,0
2017-10,Quebec,2021A000224,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277486097,882.2.1.1,1043,,,,0
2018-01,Quebec,2021A000224,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277486097,882.2.1.1,935,,,,0
2018-04,Quebec,2021A000224,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277486097,882.2.1.1,2140,,,,0
2018-07,Quebec,2021A000224,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277486097,882.2.1.1,2142,,,,0
2018-10,Quebec,2021A000224,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277486097,882.2.1.1,3320,,,,0
2019-01,Quebec,2021A000224,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277486097,882.2.1.1,2188,,,,0
2019-04,Quebec,2021A000224,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277486097,882.2.1.1,5211,,,,0
2019-07,Quebec,2021A000224,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277486097,882.2.1.1,4240,,,,0
2019-10,Quebec,2021A000224,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277486097,882.2.1.1,3650,,,,0
2020-01,Quebec,2021A000224,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277486097,882.2.1.1,3649,,,,0
2020-04,Quebec,2021A000224,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277486097,882.2.1.1,2499,,,,0
2020-07,Quebec,2021A000224,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277486097,882.2.1.1,5807,,,,0
2020-10,Quebec,2021A000224,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277486097,882.2.1.1,5111,,,,0
2021-01,Quebec,2021A000224,Battery electric,"Total, vehicle type",Number of vehicles,Units,300,units,0,v1277486097,882.2.1.1,4719,,,,0
